00 2022-08-19T11:09:54:	Starting experiment logistic_regression
01 2022-08-19T11:10:04:	Starting run on resample 0
02 2022-08-19T11:27:03 [0:16:59 since event 1]:	Finished run on resample 0
03 2022-08-19T11:27:14:	Starting run on resample 1
04 2022-08-19T11:44:37 [0:17:23 since event 3]:	Finished run on resample 1
05 2022-08-19T11:44:48:	Starting run on resample 2
06 2022-08-19T12:02:20 [0:17:32 since event 5]:	Finished run on resample 2
07 2022-08-19T12:02:32:	Starting run on resample 3
08 2022-08-19T12:20:19 [0:17:47 since event 7]:	Finished run on resample 3
09 2022-08-19T12:20:30:	Starting run on resample 4
10 2022-08-19T12:38:15 [0:17:45 since event 9]:	Finished run on resample 4
11 2022-08-19T12:38:26:	Starting run on resample 5
12 2022-08-19T12:56:12 [0:17:46 since event 11]:	Finished run on resample 5
13 2022-08-19T12:56:24:	Starting run on resample 6
14 2022-08-19T13:14:05 [0:17:41 since event 13]:	Finished run on resample 6
15 2022-08-19T13:14:17:	Starting run on resample 7
16 2022-08-19T13:32:08 [0:17:51 since event 15]:	Finished run on resample 7
17 2022-08-19T13:32:20:	Starting run on resample 8
18 2022-08-19T13:50:09 [0:17:49 since event 17]:	Finished run on resample 8
19 2022-08-19T13:50:21:	Starting run on resample 9
20 2022-08-19T14:08:17 [0:17:56 since event 19]:	Finished run on resample 9
21 2022-08-19T14:08:29:	Starting run on resample 10
22 2022-08-19T14:26:21 [0:17:52 since event 21]:	Finished run on resample 10
23 2022-08-19T14:26:33:	Starting run on resample 11
24 2022-08-19T14:44:30 [0:17:57 since event 23]:	Finished run on resample 11
25 2022-08-19T14:44:41:	Starting run on resample 12
26 2022-08-19T15:02:33 [0:17:52 since event 25]:	Finished run on resample 12
27 2022-08-19T15:02:44:	Starting run on resample 13
28 2022-08-19T15:20:41 [0:17:57 since event 27]:	Finished run on resample 13
29 2022-08-19T15:20:52:	Starting run on resample 14
30 2022-08-19T15:38:43 [0:17:51 since event 29]:	Finished run on resample 14
31 2022-08-19T15:38:55:	Starting run on resample 15
32 2022-08-19T15:56:50 [0:17:55 since event 31]:	Finished run on resample 15
33 2022-08-19T15:57:02:	Starting run on resample 16
34 2022-08-19T16:14:56 [0:17:54 since event 33]:	Finished run on resample 16
35 2022-08-19T16:15:08:	Starting run on resample 17
36 2022-08-19T16:33:03 [0:17:55 since event 35]:	Finished run on resample 17
37 2022-08-19T16:33:15:	Starting run on resample 18
38 2022-08-19T16:51:09 [0:17:54 since event 37]:	Finished run on resample 18
39 2022-08-19T16:51:21:	Starting run on resample 19
40 2022-08-19T17:09:15 [0:17:54 since event 39]:	Finished run on resample 19
41 2022-08-19T17:09:26:	Starting run on resample 20
42 2022-08-19T17:27:22 [0:17:56 since event 41]:	Finished run on resample 20
43 2022-08-19T17:27:34:	Starting run on resample 21
44 2022-08-19T17:45:28 [0:17:54 since event 43]:	Finished run on resample 21
45 2022-08-19T17:45:40:	Starting run on resample 22
46 2022-08-19T18:03:34 [0:17:54 since event 45]:	Finished run on resample 22
47 2022-08-19T18:03:46:	Starting run on resample 23
48 2022-08-19T18:21:42 [0:17:56 since event 47]:	Finished run on resample 23
49 2022-08-19T18:21:54:	Starting run on resample 24
50 2022-08-19T18:39:50 [0:17:56 since event 49]:	Finished run on resample 24
51 2022-08-19T18:39:50 [7:29:56 since event 0]:	Finished experiment logistic_regression
